# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
1.077568292617797852e+00 1.073579311370849609e+00 9.755640029907226562e-01 9.613903760910034180e-01 9.681624174118041992e-01 9.421302676200866699e-01 9.830550551414489746e-01 9.772860407829284668e-01
2.791078984737396240e-01 2.969937026500701904e-01 1.485571563243865967e-01 1.552454382181167603e-01 1.909265369176864624e-01 1.792489141225814819e-01 2.350066453218460083e-01 2.263147532939910889e-01
1.072875022888183594e+00 1.064536809921264648e+00 9.577349424362182617e-01 9.414646625518798828e-01 9.270024895668029785e-01 9.199582338333129883e-01 9.877660274505615234e-01 1.044111728668212891e+00
2.746430039405822754e-01 2.799135148525238037e-01 1.500166505575180054e-01 1.604870855808258057e-01 1.794891953468322754e-01 1.815077811479568481e-01 2.127562016248703003e-01 2.137778997421264648e-01
1.128546118736267090e+00 1.126603841781616211e+00 1.026033163070678711e+00 1.041673183441162109e+00 9.711188077926635742e-01 9.598760008811950684e-01 1.020703315734863281e+00 1.025073051452636719e+00
1.070228576660156250e+00 1.063073992729187012e+00 9.409309625625610352e-01 9.333342313766479492e-01 9.370550513267517090e-01 9.220021963119506836e-01 1.010027647018432617e+00 9.941490292549133301e-01
1.085193991661071777e+00 1.076334834098815918e+00 9.777485728263854980e-01 9.858641028404235840e-01 9.468548297882080078e-01 9.346050620079040527e-01 9.564480781555175781e-01 9.784491658210754395e-01
1.074705243110656738e+00 1.074425697326660156e+00 1.029547929763793945e+00 1.019941091537475586e+00 9.866393208503723145e-01 9.452258944511413574e-01 1.062407970428466797e+00 9.954608678817749023e-01
2.390657514333724976e-01 2.776345610618591309e-01 1.426451355218887329e-01 1.647194176912307739e-01 1.851402968168258667e-01 1.796769648790359497e-01 2.007984519004821777e-01 2.141984850168228149e-01
1.128827095031738281e+00 1.109765172004699707e+00 1.009140133857727051e+00 1.015494108200073242e+00 9.659567475318908691e-01 9.831987023353576660e-01 9.875959753990173340e-01 9.703082442283630371e-01
2.525451779365539551e-01 2.672597169876098633e-01 1.556913554668426514e-01 1.713210344314575195e-01 1.798892170190811157e-01 1.668732017278671265e-01 2.166462242603302002e-01 2.220925390720367432e-01
1.085187673568725586e+00 1.105724215507507324e+00 1.003727674484252930e+00 1.031295299530029297e+00 9.453606009483337402e-01 9.435966610908508301e-01 9.366955757141113281e-01 9.555088877677917480e-01
2.523986101150512695e-01 2.657137513160705566e-01 1.394748389720916748e-01 1.548667997121810913e-01 1.674125790596008301e-01 1.526432931423187256e-01 2.328041344881057739e-01 2.089523524045944214e-01
1.099268078804016113e+00 1.105781912803649902e+00 1.087088942527770996e+00 1.052551150321960449e+00 9.981225728988647461e-01 9.591581225395202637e-01 9.715533852577209473e-01 9.508432149887084961e-01
1.071732997894287109e+00 1.085721731185913086e+00 9.872676134109497070e-01 1.001736521720886230e+00 9.532151818275451660e-01 9.488039612770080566e-01 1.063035011291503906e+00 1.067684173583984375e+00
2.714174091815948486e-01 2.772775590419769287e-01 1.467881947755813599e-01 1.512612700462341309e-01 1.681004613637924194e-01 1.737544834613800049e-01 2.338996678590774536e-01 2.246236205101013184e-01
2.575804889202117920e-01 2.677421867847442627e-01 1.521817892789840698e-01 1.570122838020324707e-01 1.923601478338241577e-01 1.834014356136322021e-01 2.005244642496109009e-01 1.763945817947387695e-01
2.568641304969787598e-01 2.623983323574066162e-01 1.369738727807998657e-01 1.596661061048507690e-01 1.825817078351974487e-01 1.794551759958267212e-01 1.957623213529586792e-01 1.810979247093200684e-01
1.158300399780273438e+00 1.168433547019958496e+00 1.059126973152160645e+00 1.064534783363342285e+00 9.865948557853698730e-01 9.888606071472167969e-01 9.979507327079772949e-01 1.043947458267211914e+00
2.512526214122772217e-01 2.520403563976287842e-01 1.267572790384292603e-01 1.312743723392486572e-01 1.508853435516357422e-01 1.503394097089767456e-01 2.345372289419174194e-01 2.339769005775451660e-01
2.310079038143157959e-01 2.214615494012832642e-01 1.207064166665077209e-01 1.360042840242385864e-01 1.670004576444625854e-01 1.609435230493545532e-01 2.292095869779586792e-01 2.184317708015441895e-01
2.687145471572875977e-01 2.683616876602172852e-01 1.537126153707504272e-01 1.478582173585891724e-01 1.815328001976013184e-01 1.742673665285110474e-01 2.696496546268463135e-01 2.660950720310211182e-01
1.102569580078125000e+00 1.084753632545471191e+00 1.023047566413879395e+00 1.000512480735778809e+00 9.700130820274353027e-01 9.639045596122741699e-01 1.096471428871154785e+00 1.058557629585266113e+00
1.084865927696228027e+00 1.070529460906982422e+00 9.846614599227905273e-01 9.697206020355224609e-01 9.387082457542419434e-01 9.374923110008239746e-01 1.026326179504394531e+00 1.034229516983032227e+00
2.575097978115081787e-01 2.592462599277496338e-01 1.328643262386322021e-01 1.412389129400253296e-01 1.667509824037551880e-01 1.566948294639587402e-01 2.500987052917480469e-01 2.643526792526245117e-01
2.486657500267028809e-01 2.605066597461700439e-01 1.524191349744796753e-01 1.498411297798156738e-01 1.617367863655090332e-01 1.676824390888214111e-01 2.243364304304122925e-01 2.179289162158966064e-01
2.568670809268951416e-01 2.538682222366333008e-01 1.375039517879486084e-01 1.452204287052154541e-01 1.695768684148788452e-01 1.768160909414291382e-01 2.466363757848739624e-01 2.413997948169708252e-01
1.075552463531494141e+00 1.097251176834106445e+00 1.014872193336486816e+00 1.033709406852722168e+00 9.285796284675598145e-01 9.309083819389343262e-01 1.005716085433959961e+00 1.001338601112365723e+00
2.568022012710571289e-01 2.620439827442169189e-01 1.377502828836441040e-01 1.593452244997024536e-01 1.830752342939376831e-01 1.802374124526977539e-01 1.926423162221908569e-01 1.756188422441482544e-01
