# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
1.211037635803222656e-01 1.395595967769622803e-01 1.312877386808395386e-01 1.219494938850402832e-01 1.295511573553085327e-01 1.207329332828521729e-01 1.249153688549995422e-01 1.084388494491577148e-01
7.993593066930770874e-02 8.397790789604187012e-02 7.679288834333419800e-02 7.573945820331573486e-02 9.462386369705200195e-02 8.921916037797927856e-02 7.166124880313873291e-02 8.064584434032440186e-02
1.245792731642723083e-01 1.160338148474693298e-01 1.459446847438812256e-01 1.296916902065277100e-01 1.102194935083389282e-01 1.520987302064895630e-01 1.061186939477920532e-01 2.089934647083282471e-01
7.786606997251510620e-02 8.101139217615127563e-02 8.231705427169799805e-02 8.339565992355346680e-02 8.066572993993759155e-02 8.129989355802536011e-02 7.290513813495635986e-02 7.274793088436126709e-02
1.514715701341629028e-01 1.279082894325256348e-01 2.597305774688720703e-01 2.382701039314270020e-01 1.168675869703292847e-01 1.246255710721015930e-01 1.036955043673515320e-01 1.136208251118659973e-01
1.056907102465629578e-01 1.187052205204963684e-01 1.223417297005653381e-01 1.113924235105514526e-01 9.819316118955612183e-02 9.492682665586471558e-02 1.226934939622879028e-01 9.438252449035644531e-02
1.169585138559341431e-01 1.109250485897064209e-01 1.422511190176010132e-01 1.458983272314071655e-01 1.189979687333106995e-01 1.240226402878761292e-01 9.746564924716949463e-02 9.200765192508697510e-02
1.246254369616508484e-01 1.254615932703018188e-01 2.159113138914108276e-01 1.910887807607650757e-01 1.420641392469406128e-01 1.309093385934829712e-01 1.099702939391136169e-01 1.151355803012847900e-01
6.902261078357696533e-02 7.762666791677474976e-02 6.565801799297332764e-02 7.550275325775146484e-02 7.748603075742721558e-02 7.989110052585601807e-02 8.440599590539932251e-02 7.372077554464340210e-02
1.424044072628021240e-01 1.270342171192169189e-01 1.990816444158554077e-01 1.844607889652252197e-01 1.337492913007736206e-01 1.589507907629013062e-01 1.266489326953887939e-01 1.140214428305625916e-01
6.619372218847274780e-02 6.667266041040420532e-02 8.144304901361465454e-02 7.684945315122604370e-02 7.763924449682235718e-02 7.417733967304229736e-02 6.543331593275070190e-02 6.279537826776504517e-02
1.301756054162979126e-01 1.492422521114349365e-01 2.241597920656204224e-01 2.572865784168243408e-01 1.291285008192062378e-01 1.433682292699813843e-01 1.375317722558975220e-01 1.073224544525146484e-01
8.057289570569992065e-02 7.743492722511291504e-02 8.243542164564132690e-02 8.256718516349792480e-02 8.233200758695602417e-02 7.691507786512374878e-02 8.780309557914733887e-02 6.415446102619171143e-02
1.429680734872817993e-01 1.382693648338317871e-01 2.043287903070449829e-01 1.810343861579895020e-01 1.403390318155288696e-01 1.323966383934020996e-01 1.046665161848068237e-01 1.228380724787712097e-01
1.047595739364624023e-01 1.116500124335289001e-01 1.196362376213073730e-01 1.253216415643692017e-01 1.247418969869613647e-01 1.014203876256942749e-01 9.073569625616073608e-02 8.987599611282348633e-02
7.753305882215499878e-02 8.064201474189758301e-02 8.265314996242523193e-02 7.987776398658752441e-02 8.510858565568923950e-02 7.891337573528289795e-02 8.612039685249328613e-02 9.438255429267883301e-02
6.934893876314163208e-02 7.400273531675338745e-02 7.452575117349624634e-02 8.177856355905532837e-02 6.815747916698455811e-02 7.216655462980270386e-02 7.411027699708938599e-02 7.468238472938537598e-02
6.881812214851379395e-02 7.041262090206146240e-02 6.823877245187759399e-02 7.509393990039825439e-02 6.609037518501281738e-02 6.805592775344848633e-02 6.672690808773040771e-02 7.029015570878982544e-02
1.445204168558120728e-01 1.556498557329177856e-01 2.476691305637359619e-01 2.551844120025634766e-01 1.299550235271453857e-01 1.202579587697982788e-01 1.113422736525535583e-01 9.016204625368118286e-02
6.586016714572906494e-02 7.065149396657943726e-02 7.375488430261611938e-02 7.753348350524902344e-02 8.145295828580856323e-02 8.172663301229476929e-02 8.849836885929107666e-02 6.740647554397583008e-02
6.712526828050613403e-02 6.820240616798400879e-02 6.986849755048751831e-02 7.224592566490173340e-02 8.207126706838607788e-02 7.874921709299087524e-02 7.742114365100860596e-02 8.217059820890426636e-02
6.863391399383544922e-02 7.546734809875488281e-02 7.801829278469085693e-02 8.102411031723022461e-02 9.034125506877899170e-02 8.438844978809356689e-02 7.729109376668930054e-02 8.287144452333450317e-02
1.169687658548355103e-01 1.001547425985336304e-01 1.413279026746749878e-01 1.220613569021224976e-01 1.164943650364875793e-01 1.181873977184295654e-01 1.195711866021156311e-01 8.947685360908508301e-02
