# LEFT_THALAMUS RIGHT_THALAMUS LEFT_CAUDATE RIGHT_CAUDATE LEFT_PUTAMEN RIGHT_PUTAMEN LEFT_GLOBUS2 RIGHT_GLOBUS2 
1.237075193785130978e-04 1.409150136169046164e-04 1.296047266805544496e-04 1.136630598921328783e-04 1.041570722009055316e-04 7.219184044515714049e-05 1.142164255725219846e-04 9.808306640479713678e-05
1.053715750458650291e-04 1.048172416631132364e-04 1.135801139753311872e-04 1.091005542548373342e-04 7.296623516594991088e-05 4.924145105178467929e-05 4.954127507517114282e-05 8.904631977202370763e-05
1.188408350571990013e-04 1.141965331044048071e-04 1.364005147479474545e-04 1.248618791578337550e-04 8.096391684375703335e-05 1.315956033067777753e-04 8.101172716123983264e-05 2.228349476354196668e-04
1.107303251046687365e-04 1.196759258164092898e-04 1.638811518205329776e-04 1.529097353341057897e-04 7.229741459013894200e-05 6.034850594005547464e-05 7.787037611706182361e-05 1.067128905560821295e-04
1.784261694410815835e-04 1.396917359670624137e-04 2.716147864703088999e-04 2.595864061731845140e-04 8.433088078163564205e-05 1.086862685042433441e-04 7.765347982058301568e-05 1.094885810744017363e-04
1.045322132995352149e-04 1.117031424655579031e-04 1.134862541221082211e-04 1.000148695311509073e-04 4.991720197722315788e-05 3.808267501881346107e-05 5.965233503957279027e-05 5.933710417593829334e-05
1.133978803409263492e-04 1.016759124468080699e-04 1.375683350488543510e-04 1.411722187185660005e-04 7.893272413639351726e-05 8.228341903304681182e-05 5.257413431536406279e-05 6.248022691579535604e-05
1.111461897380650043e-04 1.159866660600528121e-04 2.382547390880063176e-04 2.155164402211084962e-04 1.257955445908010006e-04 9.347435116069391370e-05 7.887639367254450917e-05 8.126240572892129421e-05
1.292657543672248721e-04 1.387283991789445281e-04 2.821158559527248144e-04 2.630016533657908440e-04 1.036234898492693901e-04 9.582413622410967946e-05 2.265278308186680079e-04 1.732521486701443791e-04
1.538465730845928192e-04 1.397632586304098368e-04 2.124330931110307574e-04 1.925807446241378784e-04 1.005840822472237051e-04 1.423500798409804702e-04 9.587792737875133753e-05 8.886018622433766723e-05
1.484725944465026259e-04 1.439125626347959042e-04 3.142785280942916870e-04 2.998294658027589321e-04 5.805933687952347100e-05 1.147271177615039051e-04 4.919608545606024563e-05 4.225403972668573260e-05
1.333511754637584090e-04 1.621034025447443128e-04 2.371626760577782989e-04 2.765324898064136505e-04 1.026702448143623769e-04 1.199098769575357437e-04 1.230116758961230516e-04 8.330429409397765994e-05
9.010006760945543647e-05 9.471136581851169467e-05 1.080395595636218786e-04 9.076026617549359798e-05 4.244391675456427038e-05 4.804537093150429428e-05 4.133398033445701003e-05 5.642105315928347409e-05
1.584900892339646816e-04 1.507519045844674110e-04 2.195806737290695310e-04 1.999524538405239582e-04 1.318986614933237433e-04 1.191356568597257137e-04 8.267869998235255480e-05 8.944235014496371150e-05
9.556175791658461094e-05 1.121673994930461049e-04 1.150407260865904391e-04 1.208444809890352190e-04 9.793158096726983786e-05 5.866114952368661761e-05 4.176061702310107648e-05 4.947390334564261138e-05
1.089838187908753753e-04 1.106172494473867118e-04 1.158942541223950684e-04 7.479146734112873673e-05 3.795188240474089980e-05 3.920378367183730006e-05 5.914366920478641987e-05 5.191038144403137267e-05
1.798376324586570263e-04 1.997757353819906712e-04 3.006904735229909420e-04 2.922381390817463398e-04 8.899779641069471836e-05 1.236179814441129565e-04 9.710346057545393705e-05 1.055851680575869977e-04
2.150465152226388454e-04 1.654511725064367056e-04 2.880799584090709686e-04 2.728010585997253656e-04 1.227831380674615502e-04 1.189522808999754488e-04 1.288967905566096306e-04 2.683876373339444399e-04
1.598405360709875822e-04 1.699979911791160703e-04 2.681906626094132662e-04 2.769394195638597012e-04 1.157763108494691551e-04 9.588021202944219112e-05 8.359391358681023121e-05 7.264293526532128453e-05
1.033331500366330147e-04 9.133532148553058505e-05 1.462274231016635895e-04 1.179841274279169738e-04 6.260547525016590953e-05 5.639670052914880216e-05 4.930906652589328587e-05 3.983594069723039865e-05
1.126167844631709158e-04 9.899609722197055817e-05 8.251379040302708745e-05 9.776578372111544013e-05 5.242225597612559795e-05 5.456948565552011132e-05 3.756046498892828822e-05 3.445200491114519536e-05
1.049997226800769567e-04 9.210978896589949727e-05 1.664053852437064052e-04 1.281778968404978514e-04 4.616164369508624077e-05 6.233737076399847865e-05 4.840053952648304403e-05 4.002887362730689347e-05
1.069048012141138315e-04 8.301631169160827994e-05 1.300983858527615666e-04 1.048448975780047476e-04 7.461206405423581600e-05 7.647999154869467020e-05 9.680270886747166514e-05 5.455060818349011242e-05
9.348413732368499041e-05 9.287825378123670816e-05 1.382056070724502206e-04 1.092784586944617331e-04 5.374360625864937901e-05 6.554174615303054452e-05 3.597582690417766571e-05 3.468939758022315800e-05
8.298253669636324048e-05 8.724044892005622387e-05 1.366092037642374635e-04 1.290452782995998859e-04 4.314515899750404060e-05 4.050068309879861772e-05 4.468899714993312955e-05 3.847240805043838918e-05
8.196919952752068639e-05 7.874800212448462844e-05 1.069175486918538809e-04 9.420107380719855428e-05 5.850612797075882554e-05 7.607967563671991229e-05 4.397984594106674194e-05 4.841374538955278695e-05
1.478523627156391740e-04 1.292494271183386445e-04 1.820375764509662986e-04 1.467115507693961263e-04 4.536386040854267776e-05 4.667632674681954086e-05 4.376102879177778959e-05 4.825337600777857006e-05
1.310467923758551478e-04 1.514159521320834756e-04 2.177107380703091621e-04 2.265172806801274419e-04 5.138034248375333846e-05 4.565056224237196147e-05 4.424946746439673007e-05 5.144740134710446000e-05
2.168481878470629454e-04 1.699522399576380849e-04 2.904117864090949297e-04 2.713658614084124565e-04 1.270591310458257794e-04 1.201548802782781422e-04 1.304183242609724402e-04 2.731852291617542505e-04
8.870098827173933387e-05 1.032059371937066317e-04 1.558319636387750506e-04 1.143368062912486494e-04 4.892173819825984538e-05 5.191453965380787849e-05 4.936468394589610398e-05 6.648427370237186551e-05
9.886964835459366441e-05 1.120719971368089318e-04 1.456211321055889130e-04 1.173663404188118875e-04 4.345330671640112996e-05 4.844699651584960520e-05 8.523662836523726583e-05 6.776826921850442886e-05
1.038586851791478693e-04 1.136970822699368000e-04 1.234416849911212921e-04 1.175590441562235355e-04 1.034196611726656556e-04 6.942180334590375423e-05 8.068960596574470401e-05 1.361620670650154352e-04
1.021807620418258011e-04 1.247696491191163659e-04 1.179338141810148954e-04 1.238234981428831816e-04 7.207451562862843275e-05 4.802310286322608590e-05 5.964987940387800336e-05 5.475964644574560225e-05
8.609934593550860882e-05 8.027601143112406135e-05 1.321582385571673512e-04 1.287612976739183068e-04 9.146984666585922241e-05 1.082286689779721200e-04 6.870579818496480584e-05 5.389875150285661221e-05
1.093767059501260519e-04 1.231900241691619158e-04 1.454344019293785095e-04 1.399976899847388268e-04 1.045580502250231802e-04 9.858125122264027596e-05 1.157900405814871192e-04 9.447848424315452576e-05
1.391103432979434729e-04 1.258264237549155951e-04 1.647201861487701535e-04 1.378366723656654358e-04 1.139683881774544716e-04 1.159297316917218268e-04 1.611575280549004674e-04 1.896309258881956339e-04
7.997287320904433727e-05 7.864365034038200974e-05 1.350729726254940033e-04 1.131992321461439133e-04 7.700838614255189896e-05 9.699872316559776664e-05 7.250181806739419699e-05 5.957630128250457346e-05
1.058834895957261324e-04 1.077733759302645922e-04 1.329819060629233718e-04 1.423160138074308634e-04 1.649788027862086892e-04 9.706852142699062824e-05 5.100415364722721279e-05 1.112544778152368963e-04
9.478899301029741764e-05 1.072021696018055081e-04 1.309517538174986839e-04 1.226578024215996265e-04 8.841723320074379444e-05 9.573803981766104698e-05 7.834076677681878209e-05 1.288582861889153719e-04
1.516507181804627180e-04 1.420636690454557538e-04 2.209834638051688671e-04 2.291290147695690393e-04 9.546650835545733571e-05 9.101906471187248826e-05 7.089396240189671516e-05 8.179306314559653401e-05
9.477443381911143661e-05 1.124727787100709975e-04 9.919176955008879304e-05 1.034783199429512024e-04 1.454280572943389416e-04 8.383607200812548399e-05 1.465602836105972528e-04 1.321219606325030327e-04
1.164521454484201968e-04 1.047079858835786581e-04 1.101603484130464494e-04 1.079176072380505502e-04 9.688227873994037509e-05 1.150171301560476422e-04 1.165217836387455463e-04 1.190883776871487498e-04
1.143846675404347479e-04 1.188882379210554063e-04 9.677215712144970894e-05 1.070479338523000479e-04 4.558484579320065677e-05 6.543505151057615876e-05 4.485406680032610893e-05 6.463691534008830786e-05
1.343048788839951158e-04 1.495229807915166020e-04 2.371565060457214713e-04 2.632621617522090673e-04 7.756546256132423878e-05 7.296449621208012104e-05 1.209109686897136271e-04 1.265899481950327754e-04
1.517028722446411848e-04 1.407107047270983458e-04 1.919455098686739802e-04 1.553395850351080298e-04 7.406725490000098944e-05 7.366007048403844237e-05 7.172900950536131859e-05 7.659003313165158033e-05
1.084712566807866096e-04 1.155412101070396602e-04 1.828761451179161668e-04 1.522093371022492647e-04 2.159860305255278945e-04 1.095979387173429132e-04 9.065413905773311853e-05 1.163978886324912310e-04
1.320992159890010953e-04 1.298781426157802343e-04 1.365254283882677555e-04 1.021151765598915517e-04 6.780294643249362707e-05 1.645498414291068912e-04 9.754691564012318850e-05 1.202755011036060750e-04
1.494402677053585649e-04 1.512188173364847898e-04 2.162243617931380868e-04 2.193223335780203342e-04 6.022969682817347348e-05 6.428350025089457631e-05 7.507031841669231653e-05 9.219355706591159105e-05
1.704089663689956069e-04 1.771758106769993901e-04 3.076017601415514946e-04 2.949253830593079329e-04 9.074936679098755121e-05 1.143380941357463598e-04 1.025268211378715932e-04 1.225293526658788323e-04
1.449414849048480392e-04 1.511287991888821125e-04 2.704469079617410898e-04 3.051854437217116356e-04 1.427432871423661709e-04 7.468546391464769840e-05 9.563030471326783299e-05 1.462484506191685796e-04
1.597381633473560214e-04 1.499476493336260319e-04 3.446662158239632845e-04 2.351340081077069044e-04 1.479674247093498707e-04 1.359346206299960613e-04 1.300602307310327888e-04 1.951798330992460251e-04
1.548954314785078168e-04 1.409390388289466500e-04 2.284140646224841475e-04 1.826575462473556399e-04 1.075096224667504430e-04 1.484618114773184061e-04 1.088681674445979297e-04 1.078695786418393254e-04
1.685357856331393123e-04 1.537748466944321990e-04 3.003352903760969639e-04 2.828231081366539001e-04 6.461237353505566716e-05 1.003404104267247021e-04 1.309388171648606658e-04 1.170773975900374353e-04
1.290913060074672103e-04 1.281665900023654103e-04 2.565469767432659864e-04 2.381088124820962548e-04 1.011176645988598466e-04 8.666415669722482562e-05 8.946412708610296249e-05 7.452887803083285689e-05
1.713382080197334290e-04 1.567482831887900829e-04 2.785276446957141161e-04 2.631519746500998735e-04 2.058150857919827104e-04 1.218302786583080888e-04 1.179836835945025086e-04 1.288074854528531432e-04
1.368860976072028279e-04 1.334417902398854494e-04 2.564726164564490318e-04 2.305672969669103622e-04 7.794929842930287123e-05 1.087377968360669911e-04 8.119780250126495957e-05 8.637415157863870263e-05
1.926886470755562186e-04 1.694387174211442471e-04 2.777428599074482918e-04 3.023175813723355532e-04 1.121400418924167752e-04 9.276372293243184686e-05 1.178961247205734253e-04 1.063765666913241148e-04
1.558368530822917819e-04 1.406519004376605153e-04 3.579398908186703920e-04 2.659255405887961388e-04 2.169305516872555017e-04 2.606060297694057226e-04 1.019949995679780841e-04 1.937129272846505046e-04
1.595499488757923245e-04 1.594903005752712488e-04 2.479661488905549049e-04 2.198414586018770933e-04 9.895402035908773541e-05 7.602990081068128347e-05 1.886395475594326854e-04 1.125711714848875999e-04
1.429544499842450023e-04 1.589882449479773641e-04 2.911217161454260349e-04 2.761930227279663086e-04 6.643370579695329070e-05 9.650468564359471202e-05 5.960485941614024341e-05 8.658903243485838175e-05
